bit_manufacturer,bit_model,bit_diameters,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,total_runs,sources
Ulterra,XP616,10.625; 10.63; 12.25; 13.5; 16; 17.5; 7.874016; 7.875; 8.5; 8.503937; 8.740158; 8.75; 9.875; 9.8754; 9.88189,6,16,high,"XP:XP616->B6,16mm",1079,full_bit_scan
Ulterra,SPL616,10.625; 11; 12.25; 13.5; 14.75; 16; 16.000001; 17.5; 7.874016; 7.875; 7.88; 8.5; 8.740158; 8.75; 9.875,6,16,high,"Ulterra:SPL616->B6,16mm",827,full_bit_scan
Ulterra,U611S,6.125; 6.75; 7.875; 8.5; 8.75; 9.8754,6,11,high,"Ulterra-U:U611S->B6,11mm",719,full_bit_scan
Ulterra,U616S,12.25; 12.75; 13.5; 14.75; 17.5; 20; 20.000001; 26; 6.732284; 6.75; 8.5; 8.740158; 8.75; 9.875,6,16,high,"Ulterra-U:U616S->B6,16mm",711,full_bit_scan
Baker Hughes,P306WS,6.75; 7.875; 7.88; 8.5; 8.75,6,8,high,Baker:P306WS->C30B6(frac),696,full_bit_scan
Baker Hughes,P406S,6.125; 6.1251; 6.259843; 6.73; 6.73189; 6.732284; 6.75; 6.850394; 6.890158; 7.875; 8.5; 8.740158; 8.75,6,13,high,Baker:P406S->C40B6(frac),573,full_bit_scan
Baker Hughes,DD306WSX,6.75; 7.875; 7.8755; 8.5; 8.75,6,8,high,Baker:DD306WSX->C30B6(frac),524,full_bit_scan
Ulterra,CF611,14.75; 6.125; 6.75; 7.875; 7.88; 8.5; 8.75,6,11,high,"Ulterra-CF:CF611->B6,11mm",468,full_bit_scan
NOV,TKF66-AE10,12.25,6,16,high,"NOV-TK:TKF66-AE10->B6,C6",465,full_bit_scan
Ulterra,CF616,13.5; 14.75; 17.5; 6.75; 8.5; 8.75; 9.875,6,16,high,"Ulterra-CF:CF616->B6,16mm",441,full_bit_scan
Ulterra,SPL613,10.625; 12.25; 7.875; 8.5; 8.75; 9.875,6,13,high,"Ulterra:SPL613->B6,13mm",431,full_bit_scan
NOV,TKC63-N7,7.875; 7.88,6,13,high,"NOV-TK:TKC63-N7->B6,C3",377,full_bit_scan
Baker Hughes,DD405VS,6.692914; 6.75,5,13,high,Baker:DD405VS->C40B5(frac),372,full_bit_scan
Baker Hughes,DD405W,6.5; 6.692914; 6.75,5,13,high,Baker:DD405W->C40B5(frac),364,full_bit_scan
Baker Hughes,P505,13.5; 8.5; 8.503937; 8.75; 9.875,5,15,high,Baker:P505->C50B5(frac),340,full_bit_scan
Halliburton,HXi64s,6.75; 7.875,6,13,high,"HAL:HXi64s->B6,C4(frac)",339,full_bit_scan
Baker Hughes,DD406TS,6.259843; 6.75; 8.5; 8.740158; 8.75,6,13,high,Baker:DD406TS->C40B6(frac),327,full_bit_scan
Baker Hughes,D406TS,6.141732; 6.25; 6.259843; 6.732284; 6.75; 8.75,6,13,high,Baker:D406TS->C40B6(frac),279,full_bit_scan
Ulterra,U613M,12.25; 6; 6.124803; 6.259843; 6.732284; 6.75; 7.875; 7.878; 8.5; 8.740158; 8.75,6,13,high,"Ulterra-U:U613M->B6,13mm",279,full_bit_scan
Taurex,TXd613,6.75; 7.875; 7.88; 8.5; 8.75,6,13,high,"TX:TXd613->B6,13mm",274,full_bit_scan
Ulterra,RPS613,12.25; 6.125; 6.259843; 6.5; 6.75; 7.874016; 7.875; 8.740158; 8.75; 9.625; 9.875,6,13,high,"Ulterra:RPS613->B6,13mm",272,full_bit_scan
NOV,TKF63-N3,7.875,6,13,high,"NOV-TK:TKF63-N3->B6,C3",262,full_bit_scan
NOV,TKF66-AZ11,8.5; 8.75; 9.875,6,16,high,"NOV-TK:TKF66-AZ11->B6,C6",246,full_bit_scan
NOV,TKC66,12.25; 13.5; 14.75; 18.125; 7.875; 8.5; 8.75; 9.875,6,16,high,"NOV-TK:TKC66->B6,C6",241,full_bit_scan
Baker Hughes,P306S,6.259843; 6.75; 7.875; 8.5,6,8,high,Baker:P306S->C30B6(frac),240,full_bit_scan
NOV,TKF63-N7,7.875; 7.88,6,13,high,"NOV-TK:TKF63-N7->B6,C3",232,full_bit_scan
Halliburton,HD65s,10.25; 10.625; 11; 12.25; 13.5; 14.75; 17.5; 8.5; 8.75; 9.875,6,15,high,"HAL:HD65s->B6,C5(frac)",227,full_bit_scan
Baker Hughes,P506,12.25; 8.5; 8.740158; 8.75; 9.875,6,15,high,Baker:P506->C50B6(frac),224,full_bit_scan
Ulterra,RPS616,11; 12.25; 7.875; 8.5; 8.75; 9.875,6,16,high,"Ulterra:RPS616->B6,16mm",216,full_bit_scan
Baker Hughes,D405TS,6.125; 6.25; 6.259843; 6.26; 6.5; 6.729921; 6.75,5,13,high,Baker:D405TS->C40B5(frac),215,full_bit_scan
NOV,TKF66-CT2,8.75,6,16,high,"NOV-TK:TKF66-CT2->B6,C6",210,full_bit_scan
Halliburton,HD65WK,9.875,6,15,high,"HAL:HD65WK->B6,C5(frac)",207,full_bit_scan
Ulterra,U613S,12.244095; 12.25; 13.5; 6.125; 6.259843; 6.75; 6.889764; 7.875; 8.5,6,13,high,"Ulterra-U:U613S->B6,13mm",203,full_bit_scan
Taurex,TSt716,10.625; 11; 12.25; 14.75; 17.5; 9.875,7,16,high,"TX:TSt716->B7,16mm",199,full_bit_scan
Ulterra,RPS516,12.25; 8.75; 9.875,5,16,high,"Ulterra:RPS516->B5,16mm",193,full_bit_scan
Halliburton,HD65K,12.25; 8.5; 8.740158; 8.75; 9.875,6,15,high,"HAL:HD65K->B6,C5(frac)",187,full_bit_scan
Ulterra,U616M,10.629922; 14.75; 7.875; 8.5; 8.661418; 8.74; 8.740158; 8.75,6,16,high,"Ulterra-U:U616M->B6,16mm",182,full_bit_scan
Schlumberger,BVZ513-6A,5.984252; 6.25; 6.259843; 6.26; 6.732284; 8.740158,5,13,high,"SLB-Z:BVZ513-6A->B5,13mm",179,full_bit_scan
Varel,VION-616,10.625; 11; 12.25; 13.5; 14.75; 17.5; 8.75; 9.875; 9.88,6,16,high,"Varel:VION-616->B6,16mm",176,full_bit_scan
NOV,TKC56-G1,9.875; 9.88,5,16,high,"NOV-TK:TKC56-G1->B5,C6",174,full_bit_scan
NOV,TKF66-AQ1,12.25; 8.75,6,16,high,"NOV-TK:TKF66-AQ1->B6,C6",173,full_bit_scan
Ulterra,XP613,12.25; 6.125; 6.75; 6.7505; 8.5; 8.75; 9.875,6,13,high,"XP:XP613->B6,13mm",172,full_bit_scan
Ulterra,CF716,12.25; 13.5; 14.5; 14.75; 17.5; 8.5; 8.75,7,16,high,"Ulterra-CF:CF716->B7,16mm",164,full_bit_scan
Ulterra,CF613,10.625; 12.25; 6; 6.259843; 6.732284; 6.75; 8.5; 8.75; 9.875,6,13,high,"Ulterra-CF:CF613->B6,13mm",162,full_bit_scan
Halliburton,HXi54s,6.75; 6.7505,5,13,high,"HAL:HXi54s->B5,C4(frac)",156,full_bit_scan
Varel,Vion-616,10.625; 11; 12.25; 13.5; 14.75; 17.5; 8.75; 9.875; 9.88,6,16,high,"Varel:Vion-616->B6,16mm",156,full_bit_scan
Baker Hughes,P306,6.259843; 6.75; 7.875; 8.5,6,8,high,Baker:P306->C30B6(frac),155,full_bit_scan
Baker Hughes,P406H,6.125; 6.141732; 6.259843; 6.75; 7.875; 8.5; 8.75,6,13,high,Baker:P406H->C40B6(frac),154,full_bit_scan
Ulterra,XP716,10.625; 12.25; 8.5; 8.75,7,16,high,"XP:XP716->B7,16mm",153,full_bit_scan
Baker Hughes,LC-D405TS,6.75,5,13,high,Baker:LC-D405TS->C40B5(frac),151,full_bit_scan
NOV,TKF76-W1,8.5; 8.75,7,16,high,"NOV-TK:TKF76-W1->B7,C6",151,full_bit_scan
NOV,TKF66,11; 12.25; 7.875; 8.5; 8.75; 9.875,6,16,high,"NOV-TK:TKF66->B6,C6",146,full_bit_scan
Ulterra,RPS716,10.625; 11; 12.25; 9.625; 9.875,7,16,high,"Ulterra:RPS716->B7,16mm",143,full_bit_scan
NOV,TK63-G9,8.75; 9.875,6,13,high,"NOV-TK:TK63-G9->B6,C3",142,full_bit_scan
Halliburton,HDi64K,17.5; 6.125; 6.75,6,13,high,"HAL:HDi64K->B6,C4(frac)",137,full_bit_scan
Baker Hughes,DD406S,6.125; 6.75; 7.874016; 8.5; 8.75; 9.88189,6,13,high,Baker:DD406S->C40B6(frac),136,full_bit_scan
Ulterra,CF516,8.75,5,16,high,"Ulterra-CF:CF516->B5,16mm",136,full_bit_scan
Baker Hughes,DD406VTH,6.75,6,13,high,Baker:DD406VTH->C40B6(frac),135,full_bit_scan
NOV,TKC63-N4,7.875; 7.88,6,13,high,"NOV-TK:TKC63-N4->B6,C3",134,full_bit_scan
Taurex,TSs616,12.25; 13.5; 14.75; 20; 20.000001,6,16,high,"TX:TSs616->B6,16mm",130,full_bit_scan
Taurex,TSt616,10.625; 12.25; 17.5; 9.875,6,16,high,"TX:TSt616->B6,16mm",129,full_bit_scan
Ulterra,WAV616,11; 12.25; 8.75; 9.875; 9.88,6,16,high,"Ulterra-CF:WAV616->B6,16mm",117,full_bit_scan
Halliburton,HD55,12.25; 6; 6.5; 6.73; 6.73189; 6.732; 6.732284; 6.75; 6.751969; 8.5; 8.740158; 8.75,5,15,high,"HAL:HD55->B5,C5(frac)",113,full_bit_scan
NOV,TKF63-N4,7.875; 7.88,6,13,high,"NOV-TK:TKF63-N4->B6,C3",110,full_bit_scan
NOV,TKF66-AE1,12.25; 7.875; 9.875,6,16,high,"NOV-TK:TKF66-AE1->B6,C6",109,full_bit_scan
Halliburton,HXi64Ms,6.75; 8.5; 8.75; 9.875,6,13,high,"HAL:HXi64Ms->B6,C4(frac)",108,full_bit_scan
NOV,TKF66-AB2,9.875; 9.8754; 9.88,6,16,high,"NOV-TK:TKF66-AB2->B6,C6",106,full_bit_scan
Baker Hughes,DD306S,6.259843; 6.73; 6.732284; 6.75; 7.875; 8.5,6,8,high,Baker:DD306S->C30B6(frac),104,full_bit_scan
NOV,TK66-E3,17.5,6,16,high,"NOV-TK:TK66-E3->B6,C6",104,full_bit_scan
Schlumberger,BXZ516,12.25; 13.5; 8.75,5,16,high,"SLB-Z:BXZ516->B5,16mm",103,full_bit_scan
Baker Hughes,P406,12.25; 6.75; 7.875; 8.5; 8.503937; 8.504; 8.740158; 8.75; 9.875,6,13,high,Baker:P406->C40B6(frac),101,full_bit_scan
Baker Hughes,D506X,12.25; 13.5; 6; 8.75; 9.875,6,15,high,Baker:D506X->C50B6(frac),100,full_bit_scan
Schlumberger,BVZ513,6.259843; 6.729921; 6.73; 6.732284; 6.75; 6.77,5,13,high,"SLB-Z:BVZ513->B5,13mm",100,full_bit_scan
Ulterra,XP713,12.25; 6.75; 8.5; 9.875,7,13,high,"XP:XP713->B7,13mm",99,full_bit_scan
Taurex,TXd616,10.624803; 10.625; 7.875; 8.5; 8.75,6,16,high,"TX:TXd616->B6,16mm",98,full_bit_scan
Halliburton,HDi64M1,6.125; 6.75,6,13,high,"HAL:HDi64M1->B6,C4(frac)",97,full_bit_scan
Ulterra,U713M,10.625; 12.25; 6.141732; 6.259843; 6.75; 7.875; 8.5; 8.75,7,13,high,"Ulterra-U:U713M->B7,13mm",97,full_bit_scan
