asset_id,well_name,operator,distance_miles,section_type,bha_number,start_depth,end_depth,run_length,section_start_depth,lateral_start_depth,set_date,num_components,is_rss,has_agitator,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
37171721,Galvan Ranch A 339H,SM Energy,2.4,intermediate,1,107,4248.927,4141.9,N/A,N/A,2024-11-14,9,False,False,12.25,pdc,"12.25"" Baker Hughes T606",Baker Hughes,T606,5339289,0.9019807032767571,"[{'size': 14, 'count': 6}]",N/A,N/A,"8"" Sniper 7/8 5.9 stg",Sniper,7/8 5.9 stg,8,35.72,0.16,N/A,N/A,5.9,N/A,6,?(6),check,Baker:T606->C60B6(frac),7/8,lo
37171721,Galvan Ranch A 339H,SM Energy,2.4,intermediate,2,4249,8968.073,4719.1,N/A,N/A,2024-11-18,9,False,False,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,68454,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"7"" DDS 7/8 5.7",DDS,7/8 5.7,7,30.41,0.24,N/A,N/A,5.7,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",7/8,lo
37171721,Galvan Ranch A 339H,SM Energy,2.4,intermediate,3,8968,19620.38,10652.4,N/A,N/A,2024-11-19,10,False,True,8.75,pdc,"8.75"" NOV TK63-G9",NOV,TK63-G9,A313639,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" NOV 6/7 7.8",NOV,6/7 7.8,7.25,33.75,0.32,N/A,N/A,7.8,N/A,6,13,high,"NOV-TK:TK63-G9->B6,C3",6/7,mid
37171721,Galvan Ranch A 339H,SM Energy,2.4,intermediate,4,19620,20527.79,907.8,N/A,N/A,2024-11-25,10,False,True,8.75,pdc,"8.75"" NOV TK63-G9",NOV,TK63-G9,A313639,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" NOV 6/7 7.8 stg",NOV,6/7 7.8 stg,7.25,33.81,0.32,N/A,N/A,7.8,N/A,6,13,high,"NOV-TK:TK63-G9->B6,C3",6/7,mid
88700700,Galvan Ranch A 341H,SM Energy,2.4,intermediate,1,99,4245,4146,N/A,N/A,2024-11-11,8,False,False,12.25,pdc,"12.25"" Halliburton",Halliburton,HD65s,14237723,0.923456434307156,"[{'size': 12, 'count': 5}, {'size': 11, 'count': 4}]",N/A,N/A,"8"" Sniper 7/8 5.9 stg",Sniper,7/8 5.9,8,35.72,0.16,N/A,N/A,5.9,N/A,6,16,high,"HAL:HD65s->B6,C5(frac)",7/8,lo
88700700,Galvan Ranch A 341H,SM Energy,2.4,intermediate,2,4245,8998.125,4753.1,N/A,N/A,2024-11-12,9,False,False,8.75,pdc,"8.75"" Halliburton HD65s",Halliburton,HD65s,14137643,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"7"" DDS 7/8 5.7",DDS,7/8 5.7,7,30.83,0.24,N/A,N/A,5.7,N/A,6,16,high,"HAL:HD65s->B6,C5(frac)",7/8,lo
88700700,Galvan Ranch A 341H,SM Energy,2.4,intermediate,3,8998.12,12980.01,3981.9,N/A,N/A,2024-12-27,10,False,True,8.75,pdc,"8.75"" NOV TK63-G9",NOV,TK63-G9,A313639,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" NOV 6/7 7.8 Stg",NOV,6/7 7.8 Stg,7.25,33.83,0.32,N/A,N/A,7.8,N/A,6,13,high,"NOV-TK:TK63-G9->B6,C3",6/7,mid
88700700,Galvan Ranch A 341H,SM Energy,2.4,intermediate,4,12980.01,20450.08,7470.1,N/A,N/A,2024-12-28,12,False,True,8.75,pdc,"8.75"" NOV TK63-V2",NOV,TK63-V2,A313798,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" NOV 6/7 7.8",NOV,6/7 7.8,7.25,33.95,0.32,N/A,N/A,7.8,N/A,6,13,high,"NOV-TK:TK63-V2->B6,C3",6/7,mid
10830449,Galvan Ranch A #333H,SM Energy,2.4,intermediate,2,2647,8815.063,6168.1,2647.0,N/A,2025-12-31,11,False,False,12.25,pdc,"12.25"" Halliburton HD64K1",Halliburton,HD64K1,14334229,1.035437031822808,"[{'size': 15, 'count': 6}]",N/A,N/A,"8"" Sniper 7/8 5.9",Sniper,7/8 5.9,8,35.24,0.16,N/A,N/A,5.9,N/A,6,13,high,"HAL:HD64K1->B6,C4(frac)",7/8,lo
82512872,Galvan Ranch A119H (Rerun),SM Energy,2.4,intermediate,1,197,2657.1542,2460.2,2657.0,N/A,2026-01-10,12,False,False,17.5,pdc,"17.5"" Ulterra U616S",Ulterra,U616S,76109,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"9.625"" Altitude 7/8 59",Altitude,7/8 59,9.625,38.91,0.15,N/A,N/A,5.9,N/A,6,16,high,"Ulterra-U:U616S->B6,16mm",7/8,lo
82512872,Galvan Ranch A119H (Rerun),SM Energy,2.4,intermediate,2,2657,8614.165,5957.2,2657.0,N/A,2026-01-12,11,False,False,12.25,pdc,"12.25"" Ulterra U613S",Ulterra,U613S,80706,0.9,"[{'size': 14, 'count': 6}]",N/A,N/A,"8"" Altitude 7/8 5.9 SuperHawk",Altitude,7/8 5.9 SuperHawk ,8,36.23,0.15,N/A,N/A,5.9,N/A,6,13,high,"Ulterra-U:U613S->B6,13mm",7/8,lo
41387083,Galvan Ranch A119H,SM Energy,2.4,intermediate,1,197,2657.1542,2460.2,2657.0,N/A,2026-01-10,12,False,False,17.5,pdc,"17.5"" Ulterra U616S",Ulterra,U616S,76109,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"9.625"" Altitude 7/8 59",Altitude,7/8 59,9.625,38.91,0.15,N/A,N/A,5.9,N/A,6,16,high,"Ulterra-U:U616S->B6,16mm",7/8,lo
41387083,Galvan Ranch A119H,SM Energy,2.4,intermediate,2,2657,8614.165,5957.2,2657.0,N/A,2026-01-12,11,False,False,12.25,pdc,"12.25"" Ulterra U613S",Ulterra,U613S,80706,0.9,"[{'size': 14, 'count': 6}]",N/A,N/A,"8"" Altitude 7/8 5.9 SuperHawk",Altitude,7/8 5.9 SuperHawk ,8,36.23,0.15,N/A,N/A,5.9,N/A,6,13,high,"Ulterra-U:U613S->B6,13mm",7/8,lo
66548917,Spohn Ranch 35H,Escondido Resources,5.0,intermediate,1,115,1605.75488,1490.8,N/A,N/A,2021-08-17,8,False,False,12.25,pdc,"12.25"" Schlumberger XS616S",Schlumberger,XS616S,JV6115,1.5531555477342116,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.688"" MS Directional 7/8 5.9",MS Directional,7/8 5.9,7.688,36.1,0.16,N/A,N/A,5.9,N/A,6,16,check,"fallback-3dig:XS616S->B6,16mm",7/8,lo
66548917,Spohn Ranch 35H,Escondido Resources,5.0,intermediate,3,4400,9672,5272,N/A,N/A,2021-09-28,8,False,False,8.75,pdc,"8.75"" Schlumberger Z616",Schlumberger,Z616,JV6609,1.5531555477342116,"[{'size': 15, 'count': 9}]",N/A,N/A,"7"" MS Directional XL Performance 7/8 6.9",MS Directional,XL Performance 7/8 6.9,7,34.75,0.25,N/A,N/A,6.9,N/A,6,16,high,"SLB-Z:Z616->B6,16mm",7/8,lo
66548917,Spohn Ranch 35H,Escondido Resources,5.0,intermediate,2,1612,4400.02295,2788.0,N/A,N/A,2021-08-18,8,False,False,12.25,pdc,"12.25"" Schlumberger XS616S",Schlumberger,XS616S,JV6115,1.5531555477342116,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.688"" MS Directional 7/8 5.9",MS Directional,7/8 5.9,7.688,36.1,0.16,N/A,N/A,5.9,N/A,6,16,check,"fallback-3dig:XS616S->B6,16mm",7/8,lo
