asset_id,well_name,operator,distance_miles,bha_number,start_depth,end_depth,run_length,set_date,num_components,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
37171721,Galvan Ranch A 339H,SM Energy,2.4,3,8968,19620.38,10652.4,2024-11-19,10,8.75,pdc,"8.75"" NOV TK63-G9",NOV,TK63-G9,A313639,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" NOV 6/7 7.8",NOV,6/7 7.8,7.25,33.75,0.32,N/A,N/A,7.8,N/A,6,13,high,"NOV-TK:TK63-G9->B6,C3",6/7,mid
37171721,Galvan Ranch A 339H,SM Energy,2.4,4,19620,20527.79,907.8,2024-11-25,10,8.75,pdc,"8.75"" NOV TK63-G9",NOV,TK63-G9,A313639,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" NOV 6/7 7.8 stg",NOV,6/7 7.8 stg,7.25,33.81,0.32,N/A,N/A,7.8,N/A,6,13,high,"NOV-TK:TK63-G9->B6,C3",6/7,mid
88700700,Galvan Ranch A 341H,SM Energy,2.4,3,8998.12,12980.01,3981.9,2024-12-27,10,8.75,pdc,"8.75"" NOV TK63-G9",NOV,TK63-G9,A313639,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" NOV 6/7 7.8 Stg",NOV,6/7 7.8 Stg,7.25,33.83,0.32,N/A,N/A,7.8,N/A,6,13,high,"NOV-TK:TK63-G9->B6,C3",6/7,mid
88700700,Galvan Ranch A 341H,SM Energy,2.4,4,12980.01,20450.08,7470.1,2024-12-28,12,8.75,pdc,"8.75"" NOV TK63-V2",NOV,TK63-V2,A313798,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" NOV 6/7 7.8",NOV,6/7 7.8,7.25,33.95,0.32,N/A,N/A,7.8,N/A,6,13,high,"NOV-TK:TK63-V2->B6,C3",6/7,mid
10830449,Galvan Ranch A #333H,SM Energy,2.4,3,8815.06,17277.32,8462.3,2026-01-04,10,8.75,pdc,"8.75"" Reed TK63-G9",Reed,TK63-G9,A318623,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7"" BHA Dixon 5/6 9.5 stg",BHA,Dixon 5/6 9.5 stg,7,34.26,0.34,N/A,N/A,9.5,N/A,6,13,high,"NOV-TK:TK63-G9->B6,C3",5/6,mid
10830449,Galvan Ranch A #333H,SM Energy,2.4,4,17277.32,22516.03,5238.7,2026-01-09,10,8.75,pdc,"8.75"" NOV TKC63-V2",NOV,TKC63-V2,A313798,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7"" Patriot 5/6 9.5",Patriot,5/6 9.5,7,35.31,0.34,N/A,N/A,9.5,N/A,6,13,high,"NOV-TK:TKC63-V2->B6,C3",5/6,mid
82512872,Galvan Ranch A119H (Rerun),SM Energy,2.4,3,8614.17,20884,12269.8,2026-01-17,10,8.75,pdc,Placeholder BHA,N/A,N/A,N/A,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,Placeholder BHA,N/A,N/A,7,32.21,0.335,N/A,N/A,8.6,N/A,,,,skip,,
41387083,Galvan Ranch A119H,SM Energy,2.4,3,8614.17,20884,12269.8,2026-01-17,10,8.75,pdc,"8.75"" NOV E1514-A1",NOV,TK63-G9,A321546,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7"" Altitude 5/6 8.6 Stg",Altitude,5/6 8.6 Stg,7,32.21,0.335,N/A,N/A,8.6,N/A,6,13,high,"NOV-TK:TK63-G9->B6,C3",5/6,mid
66548917,Spohn Ranch 35H,Escondido Resources,5.0,4,9672,19415,9743,2021-09-30,8,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV5483,2.291767297101148,"[{'size': 16, 'count': 6}, {'size': 22, 'count': 3}]",N/A,N/A,"7"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,7,34.81,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
14243794,Spohn Ranch 43H,Escondido Resources,5.7,3,9766,17771.50391,8005.5,2022-05-09,9,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV6127,2.132233295161041,"[{'size': 18, 'count': 7}, {'size': 16, 'count': 2}]",N/A,N/A,"7"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,7,34.51,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
