equiv_bha_key,num_runs,curve_type,bin_start_ft,bin_axis,p10,p50,p90,contributing_runs,confident
6B-13mm | 6/7-mid,4,rotary,0,distance_from_run_start,90.0,150.0,210.9,3,True
6B-13mm | 6/7-mid,4,rotary,100,distance_from_run_start,96.5,136.5,229.1,2,False
6B-13mm | 6/7-mid,4,rotary,200,distance_from_run_start,102.9,138.5,247.2,4,True
6B-13mm | 6/7-mid,4,rotary,300,distance_from_run_start,102.9,138.5,247.2,4,True
6B-13mm | 6/7-mid,4,rotary,400,distance_from_run_start,131.6,138.5,251.6,4,True
6B-13mm | 6/7-mid,4,rotary,500,distance_from_run_start,137.0,156.5,276.1,4,True
6B-13mm | 6/7-mid,4,rotary,600,distance_from_run_start,159.0,175.7,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,700,distance_from_run_start,161.0,184.8,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,800,distance_from_run_start,174.0,184.8,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,900,distance_from_run_start,174.0,200.7,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,1000,distance_from_run_start,159.0,212.8,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,1100,distance_from_run_start,161.1,241.1,293.1,4,True
6B-13mm | 6/7-mid,4,rotary,1200,distance_from_run_start,161.1,257.1,296.7,4,True
6B-13mm | 6/7-mid,4,rotary,1300,distance_from_run_start,161.1,267.0,296.7,4,True
6B-13mm | 6/7-mid,4,rotary,1400,distance_from_run_start,251.1,276.9,296.7,4,True
6B-13mm | 6/7-mid,4,rotary,1500,distance_from_run_start,251.1,278.6,300.0,4,True
6B-13mm | 6/7-mid,4,rotary,1600,distance_from_run_start,251.1,288.4,319.1,4,True
6B-13mm | 6/7-mid,4,rotary,1700,distance_from_run_start,247.5,288.4,319.1,4,True
6B-13mm | 6/7-mid,4,rotary,1800,distance_from_run_start,247.5,288.4,342.0,4,True
6B-13mm | 6/7-mid,4,rotary,1900,distance_from_run_start,247.5,313.6,350.2,4,True
6B-13mm | 6/7-mid,4,rotary,2000,distance_from_run_start,258.0,313.6,360.0,4,True
6B-13mm | 6/7-mid,4,rotary,2100,distance_from_run_start,292.0,327.3,370.0,4,True
6B-13mm | 6/7-mid,4,rotary,2200,distance_from_run_start,300.0,327.3,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2300,distance_from_run_start,304.1,327.3,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2400,distance_from_run_start,300.0,320.5,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2500,distance_from_run_start,300.0,320.5,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2600,distance_from_run_start,276.9,300.0,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2700,distance_from_run_start,270.0,300.0,363.1,4,True
6B-13mm | 6/7-mid,4,rotary,2800,distance_from_run_start,258.0,300.0,327.3,4,True
6B-13mm | 6/7-mid,4,rotary,2900,distance_from_run_start,270.0,300.0,319.1,4,True
6B-13mm | 6/7-mid,4,rotary,3000,distance_from_run_start,270.0,300.0,319.1,4,True
