equiv_bha_key,num_runs,curve_type,formation_name,formation_segment,formation_bin_key,p10,p50,p90,contributing_runs,confident
6B-16mm | 7/8-lo,36,rotary,Wilcox,0,Wilcox|0,230.4,340.0,435.0,7,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,10,Wilcox|10,260.0,330.0,420.0,6,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,20,Wilcox|20,300.0,380.0,405.0,6,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,30,Wilcox|30,330.0,380.0,400.0,6,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,40,Wilcox|40,330.0,380.0,400.0,6,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,50,Wilcox|50,283.8,380.0,400.0,6,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,60,Wilcox|60,281.8,355.4,425.0,4,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,70,Wilcox|70,151.4,355.4,425.0,6,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,80,Wilcox|80,151.4,380.0,430.0,5,True
6B-16mm | 7/8-lo,36,rotary,Wilcox,90,Wilcox|90,275.1,380.0,435.0,8,True
6B-16mm | 7/8-lo,36,rotary,Midway,0,Midway|0,360.0,380.0,435.0,4,True
6B-16mm | 7/8-lo,36,rotary,Midway,10,Midway|10,360.0,360.0,388.0,4,True
6B-16mm | 7/8-lo,36,rotary,Midway,20,Midway|20,360.0,360.0,388.0,4,True
6B-16mm | 7/8-lo,36,rotary,Midway,30,Midway|30,360.0,360.0,360.0,4,True
6B-16mm | 7/8-lo,36,rotary,Midway,40,Midway|40,360.0,360.0,388.0,4,True
6B-16mm | 7/8-lo,36,rotary,Midway,50,Midway|50,174.3,360.0,400.0,5,True
6B-16mm | 7/8-lo,36,rotary,Midway,60,Midway|60,149.3,360.0,400.0,7,True
6B-16mm | 7/8-lo,36,rotary,Midway,70,Midway|70,149.3,360.0,420.0,7,True
6B-16mm | 7/8-lo,36,rotary,Midway,80,Midway|80,228.7,327.3,420.0,7,True
6B-16mm | 7/8-lo,36,rotary,Midway,90,Midway|90,228.7,327.3,400.0,7,True
6B-16mm | 7/8-lo,36,rotary,Escondido,0,Escondido|0,163.6,327.3,400.0,20,True
