Dataset Name,Friendly Name,Category,Data Type,API Path,Field Path,Field Type,Example,Unit,Description,Notes
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,_id,str,62067e095562de56f22116c0,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data,object,,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.activities,array[dict],,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.activities[].day,int,43200,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.activities[].name,str,Static Off Bottom,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.activities[].night,int,33264,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.end_timestamp,int,1644580800,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.start_timestamp,int,1644494400,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,version,int,1,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,asset_id,int,123456,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,provider,str,corva,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,timestamp,int,1644580800,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,collection,str,activities.summary-2tours,,,
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,company_id,int,3,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,_id,str,62067e095562de56f22116c0,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data,object,,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.activities,array[dict],,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.activities[].day,int,43200,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.activities[].name,str,Static Off Bottom,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.activities[].night,int,33264,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.end_timestamp,int,1644580800,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.start_timestamp,int,1644494400,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,version,int,1,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,asset_id,int,123456,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,provider,str,corva,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,timestamp,int,1644580800,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,collection,str,activities.summary-3m,,,
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,company_id,int,3,,,
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,_id,str,5f75f3d53d168654756ba8ef,,,
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data,object,,,,
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.activities,array[dict],,,,
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.activities[].day,int,42169,,,
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.activities[].name,str,In Slips,,,
