Dataset Name,Friendly Name,Category,Data Type,API Path,Field Path,Field Type,Example,Unit,Description,Notes,Tags
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,_id,str,62067e095562de56f22116c0,,MongoDB document unique identifier,,"operations, activity, rig-state, metadata, internal, primary-key"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data,object,,,Container object for all measurement/computed data fields,,"operations, activity, rig-state, metadata, container"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.activities,array[dict],,,Array of activities records,,"operations, activity, rig-state, container, array"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.activities[].day,int,43200,,Duration during day shift (seconds),,"operations, activity, rig-state, operations, time, shift"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.activities[].name,str,Static Off Bottom,,Display name of the component or record,,"operations, activity, rig-state, metadata, display"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.activities[].night,int,33264,,Duration during night shift (seconds),,"operations, activity, rig-state, operations, time, shift"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.end_timestamp,int,1644580800,,End timestamp of the interval/run (Unix epoch),,"operations, activity, rig-state, time, interval, range"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,data.start_timestamp,int,1644494400,,Start timestamp of the interval/run (Unix epoch),,"operations, activity, rig-state, time, interval, range"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,version,int,1,,Schema version number for this record,,"operations, activity, rig-state, metadata, internal, versioning"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,asset_id,int,123456,,Unique identifier for the well/asset this record belongs to,,"operations, activity, rig-state, metadata, well-id, filter-key, required"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,provider,str,corva,,"Data provider name (typically ""corva"")",,"operations, activity, rig-state, metadata, internal"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,timestamp,int,1644580800,,Unix epoch timestamp (seconds) of the record,,"operations, activity, rig-state, metadata, time-index, filter-key, required"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,collection,str,activities.summary-2tours,,MongoDB collection name this record belongs to,,"operations, activity, rig-state, metadata, internal"
corva#activities.summary-2tours,activities.summary-2tours,Activities / Operations,time,/api/v1/data/corva/activities.summary-2tours/,company_id,int,3,,Unique identifier for the company/operator,,"operations, activity, rig-state, metadata, company, filter-key"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,_id,str,62067e095562de56f22116c0,,MongoDB document unique identifier,,"operations, activity, rig-state, metadata, internal, primary-key"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data,object,,,Container object for all measurement/computed data fields,,"operations, activity, rig-state, metadata, container"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.activities,array[dict],,,Array of activities records,,"operations, activity, rig-state, container, array"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.activities[].day,int,43200,,Duration during day shift (seconds),,"operations, activity, rig-state, operations, time, shift"
