Dataset Name,Friendly Name,Data Type,Field Path,Field Type,Example Value
corva#activities.summary-2tours,activities.summary-2tours,time,_id,str,'62067e095562de56f22116c0'
corva#activities.summary-2tours,activities.summary-2tours,time,data,dict,object
corva#activities.summary-2tours,activities.summary-2tours,time,data.activities,array,dict
corva#activities.summary-2tours,activities.summary-2tours,time,data.activities[].day,int,43200
corva#activities.summary-2tours,activities.summary-2tours,time,data.activities[].name,str,'Static Off Bottom'
corva#activities.summary-2tours,activities.summary-2tours,time,data.activities[].night,int,33264
corva#activities.summary-2tours,activities.summary-2tours,time,data.end_timestamp,int,1644580800
corva#activities.summary-2tours,activities.summary-2tours,time,data.start_timestamp,int,1644494400
corva#activities.summary-2tours,activities.summary-2tours,time,version,int,1
corva#activities.summary-2tours,activities.summary-2tours,time,asset_id,int,123456
corva#activities.summary-2tours,activities.summary-2tours,time,provider,str,'corva'
corva#activities.summary-2tours,activities.summary-2tours,time,timestamp,int,1644580800
corva#activities.summary-2tours,activities.summary-2tours,time,collection,str,'activities.summary-2tours'
corva#activities.summary-2tours,activities.summary-2tours,time,company_id,int,3
corva#activities.summary-3m,activities.summary-3m,time,_id,str,'62067e095562de56f22116c0'
corva#activities.summary-3m,activities.summary-3m,time,data,dict,object
corva#activities.summary-3m,activities.summary-3m,time,data.activities,array,dict
corva#activities.summary-3m,activities.summary-3m,time,data.activities[].day,int,43200
corva#activities.summary-3m,activities.summary-3m,time,data.activities[].name,str,'Static Off Bottom'
corva#activities.summary-3m,activities.summary-3m,time,data.activities[].night,int,33264
corva#activities.summary-3m,activities.summary-3m,time,data.end_timestamp,int,1644580800
corva#activities.summary-3m,activities.summary-3m,time,data.start_timestamp,int,1644494400
corva#activities.summary-3m,activities.summary-3m,time,version,int,1
corva#activities.summary-3m,activities.summary-3m,time,asset_id,int,123456
corva#activities.summary-3m,activities.summary-3m,time,provider,str,'corva'
corva#activities.summary-3m,activities.summary-3m,time,timestamp,int,1644580800
corva#activities.summary-3m,activities.summary-3m,time,collection,str,'activities.summary-3m'
corva#activities.summary-3m,activities.summary-3m,time,company_id,int,3
corva#activities.summary-continuous,activities.summary-continuous,time,_id,str,'5f75f3d53d168654756ba8ef'
corva#activities.summary-continuous,activities.summary-continuous,time,data,dict,object
corva#activities.summary-continuous,activities.summary-continuous,time,data.activities,array,dict
corva#activities.summary-continuous,activities.summary-continuous,time,data.activities[].day,int,42169
corva#activities.summary-continuous,activities.summary-continuous,time,data.activities[].name,str,'In Slips'
corva#activities.summary-continuous,activities.summary-continuous,time,data.activities[].night,int,43200
corva#activities.summary-continuous,activities.summary-continuous,time,data.end_timestamp,int,1545155400
corva#activities.summary-continuous,activities.summary-continuous,time,data.start_timestamp,int,1545069000
corva#activities.summary-continuous,activities.summary-continuous,time,version,int,1
corva#activities.summary-continuous,activities.summary-continuous,time,asset_id,int,31659357
corva#activities.summary-continuous,activities.summary-continuous,time,provider,str,'corva'
corva#activities.summary-continuous,activities.summary-continuous,time,timestamp,int,1545155400
corva#activities.summary-continuous,activities.summary-continuous,time,collection,str,'activities.summary-continuous'
corva#activities.summary-continuous,activities.summary-continuous,time,company_id,int,5
corva#activity-groups,activity-groups,time,_id,str,'5f75f8de98fd15520124e1c3'
corva#activity-groups,activity-groups,time,data,dict,object
corva#activity-groups,activity-groups,time,data.activity,int,1
corva#activity-groups,activity-groups,time,data.end_time,int,1545262752
