ID,Dataset Name,Friendly Name,Data Type,Plottable,Has Schema,Category,Description
93,corva#activities,activities,time,No,No,Activities / Operations,Description of rig activity states
64,corva#activities.summary-1m,activities.summary-1m,time,No,No,Activities / Operations,List of activities that have occurred within the last minute (1 minute)
63,corva#activities.summary-1w,activities.summary-1w,time,No,No,Activities / Operations,List of activities that have occurred within the last week (1 week)
62,corva#activities.summary-2tours,activities.summary-2tours,time,No,Yes,Activities / Operations,
54,corva#activities.summary-3m,activities.summary-3m,time,No,Yes,Activities / Operations,
61,corva#activities.summary-continuous,activities.summary-continuous,time,No,Yes,Activities / Operations,
20,corva#activity-groups,activity-groups,time,No,Yes,Activities / Operations,Data from activities collection is aggregated by activity-groups
472,corva#activity_tracker,activity_tracker,time,No,No,Activities / Operations,
461,corva#activity_tracker_pad_metadata,activity_tracker_pad_metadata,reference,No,No,Activities / Operations,
628,corva#adi_mapper,adi_mapper,reference,No,No,Other,This collection is used to configure how the BE Advacned Data Integration (ADI) app runs.
3299,corva#ainomaly,ainomaly,time,No,No,Other,
1456,corva#alerts-plus.company-configs,alerts-plus.company-configs,reference,No,No,Alerts,
1455,corva#alerts-plus.history,alerts-plus.history,reference,No,No,Alerts,
712,corva#analytics.krevs,analytics.krevs,time,Yes,No,Other,
1839,corva#anti-collision.alert,anti-collision.alert,time,No,No,Anti-Collision,
3308,corva#anti-collision.boundary-lines,anti-collision.boundary-lines,time,No,No,Anti-Collision,
1603,corva#anti-collision.clearance,anti-collision.clearance,time,No,No,Anti-Collision,
3151,corva#anti-collision.clearance-plan,anti-collision.clearance-plan,time,No,No,Anti-Collision,Anti-collision clearance calculations for the well plan surveys.
1728,corva#anti-collision.clearance.projection,anti-collision.clearance.projection,time,No,No,Anti-Collision,
1730,corva#anti-collision.clearance.projection-manual,anti-collision.clearance.projection-manual,time,No,No,Anti-Collision,
743,corva#anti-collision.clearances,anti-collision.clearances,time,No,No,Anti-Collision,A collection used for storing anti-collision results such as separation factors
3276,corva#anti-collision.edm-data.metadata-edm,anti-collision.edm-data.metadata-edm,reference,No,No,Anti-Collision,
3277,corva#anti-collision.edm-data.metadata-well,anti-collision.edm-data.metadata-well,reference,No,No,Anti-Collision,
1604,corva#anti-collision.error.offset,anti-collision.error.offset,time,No,No,Anti-Collision,
3167,corva#anti-collision.error.offset-tracked,anti-collision.error.offset-tracked,time,No,No,Anti-Collision,
1605,corva#anti-collision.error.reference,anti-collision.error.reference,time,No,No,Anti-Collision,
1729,corva#anti-collision.error.reference.projection,anti-collision.error.reference.projection,time,No,No,Anti-Collision,
1731,corva#anti-collision.error.reference.projection-manual,anti-collision.error.reference.projection-manual,time,No,No,Anti-Collision,
744,corva#anti-collision.errors,anti-collision.errors,reference,No,No,Anti-Collision,
745,corva#anti-collision.errors.offsets,anti-collision.errors.offsets,reference,No,No,Anti-Collision,
1814,corva#anti-collision.metadata-edm,anti-collision.metadata-edm,reference,No,Yes,Anti-Collision,
1815,corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,No,Yes,Anti-Collision,
1755,corva#anti-collision.plot,anti-collision.plot,time,No,No,Anti-Collision,
1736,corva#anti-collision.plot-3d,anti-collision.plot-3d,time,No,No,Anti-Collision,
1606,corva#anti-collision.setting,anti-collision.setting,time,No,No,Anti-Collision,
1894,corva#anti-collision.setting.updated,anti-collision.setting.updated,time,No,No,Anti-Collision,
746,corva#anti-collision.settings,anti-collision.settings,reference,No,No,Anti-Collision,
1895,corva#anti-collision.tool-error-model,anti-collision.tool-error-model,reference,No,No,Anti-Collision,
3343,corva#askcorva.history,askcorva.history,reference,No,No,AskCorva / AI,
3344,corva#askcorva.prompts,askcorva.prompts,reference,No,No,AskCorva / AI,
1932,corva#askcorva.settings,askcorva.settings,reference,No,Yes,AskCorva / AI,
72,corva#asset.status-10m,asset.status-10m,time,No,No,Other,
3041,corva#asset_archive_manifest,asset_archive_manifest,reference,No,No,Other,
478,corva#asset_pad_mapping,asset_pad_mapping,reference,No,No,Other,"used as hash for asset -> pad_id, fleet_id, etc."
147,corva#assets,assets,time,No,Yes,Other,Metadata associated with a well in Corva
1828,corva#auto-time-log.data,auto-time-log.data,time,Yes,No,Other,A collection for storing asset activity data derived from the WITS collection.
3125,corva#baker_memory,baker_memory,time,Yes,No,Other,baker_memory
3207,corva#bha-inventory.company-components,bha-inventory.company-components,reference,No,No,Other,
1451,corva#bowtie.insights.events,bowtie.insights.events,reference,No,No,Bowtie / Insights,Rig data
1452,corva#bowtie.insights.files,bowtie.insights.files,reference,No,No,Bowtie / Insights,
