formation_name_new,new_wob_p95,first_wob_max,delta_wob_vs_first_max,source_asset_id,md_start,md_end
Base Ozan,20,45,-25,18398736,4087,4539
Middle Hosston,74,55,19,18398736,9881,9969
Upper Hosston,72,55,17,18398736,8956,9880
Fredricksburg Limestone,55,45,10,18398736,5029,5399
James Lime,65,55,10,18398736,7838,8071
Pine Island,65,55,10,18398736,8072,8403
Pettet,65,55,10,18398736,8404,8955
Knowles Lime SB1,50,60,-10,64628631,11686,11786
Knowles Lime SB2,53,60,-7,64628631,11787,12656
Midway Shale,39,45,-6,18398736,2851,3497
Glen Rose,60,55,5,18398736,5686,6402
Lower Glen Rose,60,55,5,18398736,6403,7018
Ferry Lake Anhydrite,60,55,5,18398736,7019,7188
Rodessa,60,55,5,18398736,7189,7676
Bexar Shale,60,55,5,18398736,7677,7837
Arkadelphia,46,45,1,18398736,3498,3816
Pecan Gap Chalk,46,45,1,18398736,3817,4086
Austin Chalk,45,45,0,18398736,4540,5028
Paluxy,55,55,0,18398736,5400,5685
Cotton Valley,60,60,0,64628631,11601,11685
